Transaction_ID,Transaction_Amount,Quantity,Customer_Age,Account_Age_Days,Transaction_Hour,Product_Category,Payment_Method,Device_Used,Address_Match,Is_Fraud,Customer_ID,Transaction_Time,Previous_Transactions_Count,Failed_Transaction_Attempts,Fraud_Label,Fraud_Reason
100000,140.78,5,32,107,7,Books,Credit Card,Mobile,Yes,0,CUST100000,2026-02-10 15:58:43,38,4,0,Normal Transaction
100001,50.89,3,40,331,10,Groceries,UPI,Laptop,Yes,0,CUST100001,2026-01-20 20:14:43,28,3,0,Normal Transaction
100002,275.72,3,39,309,1,Luxury,Credit Card,Tablet,No,1,CUST100002,2026-02-28 19:33:43,14,2,1,Suspicious Device
100003,836.87,2,38,161,11,Electronics,Credit Card,Laptop,Yes,0,CUST100003,2026-01-23 13:05:43,42,3,0,Normal Transaction
100004,2.13,1,44,59,9,Groceries,PayPal,Mobile,Yes,0,CUST100004,2026-01-22 00:11:43,7,2,0,Normal Transaction
100005,1092.09,3,20,485,18,Groceries,PayPal,Mobile,Yes,1,CUST100005,2026-01-19 23:17:43,20,4,1,Normal Transaction
100006,179.62,2,21,601,13,Electronics,UPI,Laptop,No,1,CUST100006,2026-02-15 02:28:43,38,1,1,High Transaction Amount
100007,108.99,5,19,340,14,Books,PayPal,Tablet,Yes,0,CUST100007,2026-02-13 14:31:43,18,2,0,Normal Transaction
100008,282.48,3,31,81,3,Books,Debit Card,Tablet,Yes,0,CUST100008,2026-03-01 10:19:43,22,2,0,Normal Transaction
100009,422.39,2,21,822,17,Electronics,UPI,Mobile,Yes,0,CUST100009,2026-01-12 15:02:43,10,3,0,Normal Transaction
100010,841.53,4,31,863,15,Clothing,PayPal,Laptop,Yes,0,CUST100010,2025-12-28 15:33:43,10,4,0,Normal Transaction
100011,253.5,4,57,725,15,Groceries,Credit Card,Laptop,No,1,CUST100011,2026-02-05 21:34:43,23,0,1,Location Mismatch
100012,232.76,2,42,764,12,Electronics,Credit Card,Laptop,Yes,0,CUST100012,2026-01-04 05:16:43,35,0,0,Normal Transaction
100013,486.15,1,42,839,8,Groceries,UPI,Laptop,No,1,CUST100013,2026-02-03 15:56:43,39,1,1,Normal Transaction
100014,66.46,3,34,392,2,Luxury,Credit Card,Mobile,No,1,CUST100014,2025-12-31 06:06:43,23,4,1,High Transaction Amount
100015,279.39,2,56,41,6,Groceries,UPI,Laptop,No,1,CUST100015,2026-01-07 10:59:43,2,2,1,High Transaction Amount
100016,179.05,1,40,574,23,Books,PayPal,Laptop,No,1,CUST100016,2026-02-27 05:21:43,21,0,1,High Transaction Amount
100017,268.43,3,52,961,2,Clothing,PayPal,Laptop,No,0,CUST100017,2026-02-04 00:08:43,1,1,0,Normal Transaction
100018,374.74,1,22,218,22,Groceries,Debit Card,Laptop,No,1,CUST100018,2026-02-13 01:42:43,23,4,1,Suspicious Device
100019,204.24,1,32,15,9,Groceries,UPI,Laptop,Yes,0,CUST100019,2026-01-06 23:29:43,43,1,0,Normal Transaction
100020,67.59,1,49,900,4,Books,Credit Card,Laptop,No,0,CUST100020,2026-02-28 20:08:43,29,0,0,Normal Transaction
100021,158.48,3,46,36,12,Groceries,PayPal,Mobile,Yes,0,CUST100021,2026-01-19 22:57:43,37,3,0,Normal Transaction
100022,102.64,4,19,682,12,Books,Credit Card,Tablet,Yes,0,CUST100022,2026-02-09 05:10:43,1,3,0,Normal Transaction
100023,33.45,4,45,620,11,Groceries,Debit Card,Mobile,No,1,CUST100023,2026-01-11 07:09:43,20,4,1,Normal Transaction
100024,644.39,2,45,473,6,Books,Debit Card,Mobile,No,1,CUST100024,2026-01-05 08:05:43,32,1,1,Suspicious Device
100025,95.29,3,30,745,2,Luxury,Debit Card,Tablet,No,0,CUST100025,2026-02-16 06:47:43,11,2,0,Normal Transaction
100026,214.46,1,54,225,18,Electronics,UPI,Laptop,No,0,CUST100026,2026-01-17 16:28:43,21,0,0,Normal Transaction
100027,83.96,3,49,608,23,Electronics,Credit Card,Tablet,Yes,0,CUST100027,2026-01-22 06:16:43,43,3,0,Normal Transaction
100028,135.59,1,29,510,6,Electronics,PayPal,Laptop,No,1,CUST100028,2026-03-03 01:31:43,24,3,1,Location Mismatch
100029,107.38,1,34,699,16,Luxury,PayPal,Laptop,Yes,1,CUST100029,2026-02-02 01:16:43,48,1,1,High Transaction Amount
